customer_name,sheet_client_name,customer_id,invoice_number,sheet_total_count,crm_total_count,count_diff,count_match,sheet_total_price,crm_invoice_price,price_diff,price_match,crm_catchup_count,crm_catchup_amount,sheet_catchup_count,matched_assets,missing_on_invoice_count,extra_on_invoice_count,missing_on_invoice,extra_on_invoice,aligned
PEOPLE STAFFING SOLUTIONS,People Staffing Solutions,7,INV-0884,31,35,-4,NO,30479,34426,-3947,NO,0,0,0,31,0,4,,TTSPL4136|TTSPL4049|TTSPL2243|TTSPL1640,NO
PERNIMIUS FINANCIAL TECHNOLOGIES PRIVATE LIMITED,Pernimius Financial Technologies Pvt Ltd,8,INV-0930,19,17,2,NO,32770.36,28901.32,3869.04,NO,2,709.32,2,17,2,0,TTSPL7552|TTSPL7559,,NO
Pibit Technologies Private Limited,Pibit Technologies Pvt. Ltd.,48,INV-0932,227,221,6,NO,1024591.03,995065.85,29525.18,NO,6,6434.85,10,219,8,2,TTSPL7287|TTSPL7429|TTSPL7427|TTSPL7494|TTSPL7426|TTSPL7566|TTSPL7567|TTSPL7572,TTSPL4425|3952,NO
PINNACLEWORKS INFOTECH PRIVATE LIMITED,PINNACLEWORKS INFOTECH PRIVATE LIMITED,27,INV-0924,8,8,0,YES,15397,15397,0,YES,0,0,0,8,0,0,,,YES
Power Parts Pvt. Ltd.,Power Parts Pvt. Ltd,75,INV-0871,2,2,0,YES,4789,4789,0,YES,0,0,0,2,0,0,,,YES
PPG ASIAN PAINTS PRIVATE LIMITED,PPG Asian Paint,79,INV-0796,16,15,1,NO,21210.65,41970,-20759.35,NO,15,20985,16,15,1,0,TTSPL3237,,NO
Prisha Insurance Brokers Pvt Ltd,Prisha Insurance Brokers Pvt Ltd,54,INV-0827,6,4,2,NO,11731.48,6796,4935.48,NO,0,0,2,4,2,0,TTSPL7446|TTSPL7431,,NO
PRO-ALIGN SECURITY INDIA PRIVATE LIMITED,PRO-ALIGN SECURITY INDIA PRIVATE LIMITED,260,INV-0887,13,13,0,YES,17537,17537,0,YES,0,0,0,13,0,0,,,YES
Quest Solutions Private Limited,Quest Solutions Private Limited,9,INV-0792,43,40,3,NO,90378.44,87302.49,3075.95,NO,4,941.49,7,40,3,0,TTSPL4377|TTSPL2454|TTSPL7445,,NO
QUICKREPLY TECHNOLOGIES INDIA PRIVATE LIMITED,QUICKREPLY TECHNOLOGIES INDIA PVT. LTD.,153,INV-0789,11,11,0,YES,20858.71,20858.71,0,YES,1,67.71,1,11,0,0,,,YES
QUREX HEALTH PRIVATE LIMITED,QUREX HEALTH PRIVATE LIMITED,959,INV-0751,5,5,0,YES,8987.68,8987.68,0,YES,3,1392.68,3,5,0,0,,,YES
RAK Fitness Consumer Private Limited,RAK FITNESS CONSUMER PRIVATE LIMITED,64,INV-0917,13,13,0,YES,49091,49091,0,YES,0,0,0,13,0,0,,,YES
Rangreza Retail Services Pvt Ltd,RANGREZA RETAIL SERVICES PRIVATE LIMITED,80,INV-0748,4,4,0,YES,10947,10947,0,YES,0,0,0,4,0,0,,,YES
RASAYANAM NUTRIPHARM PRIVATE LIMITED,RASAYANAM NUTRIPHARM PRIVATE LIMITED,81,INV-0804,1,1,0,YES,4999,4999,0,YES,0,0,0,1,0,0,,,YES
RATHAM TECHNOLOGIES LLP,G N APNA UDYOG LLP (AU Logistics)/RATHAM TECHNOLOGIES LLP,122,INV-0902,59,60,-1,NO,128022.97,131232.29,-3209.32,NO,2,4953.29,2,59,0,1,,TTSPL4314,NO
RealVibe digital media pvt ltd,Realvibe digital media pvt. Ltd.,82,INV-0784,2,2,0,YES,9598,9598,0,YES,0,0,0,2,0,0,,,YES
RealVibe digital media pvt ltd,ClickOnik Digital Media Pvt Ltd,82,INV-0784,2,2,0,YES,3404.32,9598,-6193.68,NO,0,0,1,0,2,2,TTSPL4910|TTSPL7406,TTSPL4885|TTSPL5023,NO
RENCOMM TELE SERVICES LLP,RENCOMM TELE SERVICES LLP,99,INV-0875,4,4,0,YES,4796,4796,0,YES,0,0,0,4,0,0,,,YES
Research Nester Private Limited,RESEARCH NESTER PRIVATE LIMITED,20,INV-0931,51,53,-2,NO,54881.32,55297.65,-416.33,NO,2,1097.65,2,48,3,5,TTSPL3147|TTSPL2691|TTSPL7472,TTSPL1536|TTSPL2121|TTSPL1036|TTSPL1826|TTSPL2570,NO
REYKLE INDIA PRIVATE LIMITED,REYKLE INDIA PRIVATE LIMITED,65,INV-0770,13,13,0,YES,51691,51691,0,YES,0,0,0,13,0,0,,,YES
RHOPHI ANALYTICS LLP (Punjab),RHOPHI ANALYTICS LLP,106,INV-0915,44,43,1,NO,254691.74,247773.64,6918.1,NO,4,9820.64,5,43,1,0,TTSPL5224,,NO
RISK EDUCATORS PRIVATE LIMITED,RISK EDUCATORS PRIVATE LIMITED,21,INV-0811,1,1,0,YES,5299,5299,0,YES,0,0,0,1,0,0,,,YES
