sheet_row,sheet_ttspl,crm_ttspl,hardware_serial,location,warehouse_status,customer_name,inventory_status,qc_status,floor_ticket,floor_stage,current_dc,warehouse_bin,model,note
38,TTSPL2937,TTSPL2937,DK2Z4Q2,With customer (rented),,Research Nester Private Limited,rented,out_stock,,,DC-001365,,Dell Dell Latitude 7490,
39,TTSPL2938,TTSPL2938,38TV5Q2,With customer (rented),,VALENTA KPO PRIVATE LIMITED,rented,out_stock,,,DC-000987,,Dell Dell Latitude 7490,
40,TTSPL2957,TTSPL2957,9MBCQ92,Warehouse,QC Process,,out_stock,out_stock,,,,,Dell Dell Latitude E7470,
41,TTSPL2965,,,Not found in CRM,,,,,,,,,,
42,TTSPL2972,,,Not found in CRM,,,,,,,,,,
43,TTSPL3009,TTSPL3009,9SN7M63,With customer (rented),,RATHAM TECHNOLOGIES LLP,rented,out_stock,,,DC-003215,,Dell Dell Latitude 5410,
44,TTSPL3022,TTSPL3022,5MMCKC2,With customer (sold),,B M TECHNOLOGIES,sold,out_for_repare,,,DC/26-27/0586,,Dell Dell Latitude E7470,
45,TTSPL3027,TTSPL3027,8H7RDC2,Warehouse,QC Process · QC1,,returned,pending,#2660,QC1,,,Dell Dell Latitude E7470,
46,TTSPL3032,TTSPL3032,2NKPM72,In transit to customer,,B M TECHNOLOGIES,in_transit,passed,,,DC/26-27/1198,,Dell Latitude E7470,
47,TTSPL3038,TTSPL3038,B0DW373,With customer (rented),,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED,rented,out_stock,,,DC-003415,,Dell Dell Latitude 5411,
48,TTSPL3049,TTSPL3049,CC426Q2,With customer (rented),,PERNIMIUS FINANCIAL TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-001183,,Dell Dell Latitude 7490,
49,TTSPL3083,TTSPL3083,5CG21727VZ,Warehouse,QC Process · Floor Manager,IIOT INNOVATION PRIVATE LIMITED,returned,pending,#2146,Floor Manager,,,Dell HP 240 G8,
50,TTSPL3089,TTSPL3089,PF40J5FK,With customer (rented),,RATHAM TECHNOLOGIES LLP,rented,out_stock,,,DC/26-27/0441,,Dell Lenovo Ideapad 3,Duplicate in sheet
51,TTSPL3110,TTSPL3110,16TJX52,Warehouse,QC Pending,,in_stock,qc_pending,,,,,Dell Dell Latitude E7250,
52,TTSPL3113,TTSPL3113,PF1XA922,Warehouse,QC Process · Floor Manager,,returned,pending,#2506,Floor Manager,,,Dell T-490,
53,TTSPL3123,TTSPL3123,FVFDPM17Q05D,With customer (rented),,REYKLE INDIA PRIVATE LIMITED,rented,passed,,,DC/26-27/1085,,Apple Macbook Pro,
54,TTSPL3138,TTSPL3138,52L4M13,Warehouse,QC Process · QC1,,returned,pending,#2663,QC1,,,Dell Dell Latitude 7400 (Touch Screen),
55,TTSPL3224,TTSPL3224,73Y2M13,Warehouse,QC Process · QC1,,returned,pending,#2118,QC1,,,Dell Dell Latitude 7400,
56,TTSPL3319,TTSPL3319,G7134WFH4P,With customer (rented),,PIBIT TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/1124,,Apple Apple Apple Macbook Pro,
57,TTSPL3353,TTSPL3353,5CG2260KNN,Warehouse,QC Process · Diagnosis,,returned,pending,#2714,Diagnosis,,,Dell HP 240 G8,
58,TTSPL3396,TTSPL3396,5ZHP8S2,With customer (rented),,4 PROSPER TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0604,,Dell Dell Latitude 7490,
59,TTSPL3396,TTSPL3396,5ZHP8S2,With customer (rented),,4 PROSPER TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0604,,Dell Dell Latitude 7490,Duplicate in sheet
60,TTSPL3401,TTSPL3401,JWFHKC2,With customer (sold),,BM Computers,sold,out_stock,,,DC/26-27/0390,,Dell Dell Latitude E7270,
61,TTSPL3422,TTSPL3422,6SDFVT2,Warehouse,QC Process,,out_stock,out_stock,,,,,Dell Dell Latitude 7490,
