customer_name_sheet,crm_customer_id,crm_customer_name,crm_total_active_assets,sheet_active_assets_with_rent,total_rent_amount_sheet,customer_match_method,total_per_month_rate_sheet,matched_assets,unmatched_sheet_assets,crm_active_not_on_sheet,rate_match_count,rate_mismatch_count,asset_count_aligned,count_diff_sheet_minus_crm
SAATHI WORLDAPP PRIVATE LIMITED,15,SAATHI WORLDAPP PRIVATE LIMITED,4,4,6000,name,6000,4,0,0,4,0,YES,0
MERITSHOT ZETTA EDUTECH PRIVATE LIMITED,167,MERITSHOT ZETTA EDUTECH PRIVATE LIMITED,1,1,5999,name,5999,1,0,0,1,0,YES,0
Scoopalicious (OPC) Private limited,240,Scoopalicious (OPC) Private limited,1,1,5999,name,5999,1,0,0,1,0,YES,0
ISCREENING SERVICES PRIVATE LIMITED,35,ISCREENING SERVICES PRIVATE LIMITED,6,6,5994,name,5994,6,0,0,6,0,YES,0
ICHELON Consulting Group,4,ICHELON CONSULTING GROUP,2,1,5990,name,5990,1,0,1,1,0,NO,-1
Dawnsun Kyosei,126,DAWNSUN EXIM CORPORATION,9,3,5488,inferred_from_ttspl,5488,3,0,6,3,0,NO,-6
MANTARAV PRIVATE LIMITED,968,MANTARAV PRIVATE LIMITED,1,1,5399,name,5399,1,0,0,1,0,YES,0
RISK EDUCATORS PRIVATE LIMITED,21,RISK EDUCATORS PRIVATE LIMITED,1,1,5299,name,5299,1,0,0,1,0,YES,0
ENCUBATE TECH PRIVATE LIMITED,229,ENCUBATE TECH PRIVATE LIMITED,2,2,5198,name,5198,2,0,0,2,0,YES,0
Digeesell Media Solutions Pvt Ltd,60,DIGEESELL MEDIA SOLUTIONS PRIVATE LIMITED,3,3,5147,name,5147,3,0,0,3,0,YES,0
RASAYANAM NUTRIPHARM PRIVATE LIMITED,81,RASAYANAM NUTRIPHARM PRIVATE LIMITED,1,1,4999,name,4999,1,0,0,1,0,YES,0
WedMeGood,57,WedMeGood,1,1,4999,name,4999,1,0,0,1,0,YES,0
